phone_name,review_url,image_url,image_alt
Realme P4 Power review,https://www.gsmarena.com/realme_p4_power-review-2930.php,https://fdn.gsmarena.com/imgroot/reviews/26/realme-p4-power/-347x151/gsmarena_000.jpg,
Moto G & G Play (2026) review,https://www.gsmarena.com/motorola_moto_g_2026_g_play_2026-review-2925.php,https://fdn.gsmarena.com/imgroot/reviews/26/motorola-moto-g-2026/-347x151/gsmarena_001.jpg,
Infinix Note Edge review,https://www.gsmarena.com/infinix_note_edge-review-2929.php,https://fdn.gsmarena.com/imgroot/reviews/26/infinix-note-edge/-347x151/gsmarena_001.jpg,
OnePlus Pad Go 2 review,https://www.gsmarena.com/oneplus_pad_go_2-review-2931.php,https://fdn.gsmarena.com/imgroot/reviews/26/oneplus-pad-go-2/-347x151/gsmarena_001.jpg,
Xiaomi Redmi Note 15 5G review,https://www.gsmarena.com/redmi_note_15_5g-review-2927.php,https://fdn.gsmarena.com/imgroot/reviews/26/redmi-note-15/-347x151/gsmarena_002.jpg,
Oppo Reno15 review,https://www.gsmarena.com/oppo_reno15-review-2924.php,https://fdn.gsmarena.com/imgroot/reviews/26/oppo-reno15/-347x151/gsmarena_002.jpg,
RedMagic 11 Air review,https://www.gsmarena.com/nubia_redmagic_11_air-review-2926.php,https://fdn.gsmarena.com/imgroot/reviews/26/nubia-redmagic-11-air/-347x151/gsmarena_000.jpg,
OnePlus 15R review,https://www.gsmarena.com/oneplus_15r-review-2923.php,https://fdn.gsmarena.com/imgroot/reviews/26/oneplus-15r/-347x151/gsmarena_002.jpg,
Xiaomi 17 Ultra Leica Edition review,https://www.gsmarena.com/xiaomi_17_ultra_leica_edition-review-2922.php,https://fdn.gsmarena.com/imgroot/reviews/26/xiaomi-17-ultra/-347x151/gsmarena_000.jpg,
Moto G Power (2026) review,https://www.gsmarena.com/motorola_moto_g_power_2026-review-2921.php,https://fdn.gsmarena.com/imgroot/reviews/26/motorola-moto-g-power-2026/-347x151/gsmarena_001.jpg,
Oppo Reno15 Pro (mini) review,https://www.gsmarena.com/oppo_reno15_pro_mini-review-2920.php,https://fdn.gsmarena.com/imgroot/reviews/26/oppo-reno15-pro-mini/-347x151/gsmarena_002.jpg,
Realme 16 Pro+ review,https://www.gsmarena.com/realme_16_pro_plus-review-2919.php,https://fdn.gsmarena.com/imgroot/reviews/26/realme-16-pro-plus/-347x151/gsmarena_000.jpg,
Honor Magic8 Pro review,https://www.gsmarena.com/honor_magic8_pro-review-2909.php,https://fdn.gsmarena.com/imgroot/reviews/26/honor-magic8-pro/-347x151/gsmarena_004.jpg,
Poco M8 Pro review,https://www.gsmarena.com/poco_m8_pro-review-2918.php,https://fdn.gsmarena.com/imgroot/reviews/26/poco-m8-pro/-347x151/gsmarena_001.jpg,
